x_comp,std_u_comp
0,0
0.00015,0.000337586
0.0003,0.000675171
0.00045,0.00101276
0.0006,0.00135034
0.00075,0.00168793
0.0009,0.00202551
0.00105,0.0023631
0.0012,0.00270068
0.00135,0.00303827
0.0015,0.00337586
0.00165,0.00371344
0.0018,0.00405103
0.00195,0.00438861
0.0021,0.0047262
0.00225,0.00506378
0.0024,0.00540137
0.00255,0.00573895
0.0027,0.00607654
0.00285,0.00641413
0.003,0.00675171
0.00315,0.0070893
0.0033,0.00742688
0.00345,0.00776447
0.0036,0.00810205
0.00375,0.00843964
0.0039,0.00877722
0.00405,0.00911481
0.0042,0.0094524
0.00435,0.00978998
0.0045,0.0101276
0.00465,0.0104652
0.0048,0.0107923
0.00495,0.0111159
0.0051,0.0114396
0.00525,0.0117632
0.0054,0.0120869
0.00555,0.0124105
0.0057,0.0127341
0.00585,0.0130578
0.006,0.0133814
0.00615,0.0137051
0.0063,0.0140287
0.00645,0.0143524
0.0066,0.014676
0.00675,0.0149996
0.0069,0.0153233
0.00705,0.0156469
0.0072,0.0159706
0.00735,0.0162942
0.0075,0.0166179
0.00765,0.0169415
0.0078,0.0172652
0.00795,0.0175888
0.0081,0.0179124
0.00825,0.0182361
0.0084,0.0185597
0.00855,0.0188834
0.0087,0.019207
0.00885,0.0195307
0.009,0.0198543
0.00915,0.0201779
0.0093,0.0205016
0.00945,0.0208028
0.0096,0.0210817
0.00975,0.0213606
0.0099,0.0216395
0.01005,0.0219183
0.0102,0.0221972
0.01035,0.0224761
0.0105,0.0227549
0.01065,0.0230338
0.0108,0.0233127
0.01095,0.0235915
0.0111,0.0238704
0.01125,0.0241493
0.0114,0.0244281
0.01155,0.024707
0.0117,0.0249859
0.01185,0.0252648
0.012,0.0255436
0.01215,0.0258225
0.0123,0.0261014
0.01245,0.0263802
0.0126,0.0266591
0.01275,0.026938
0.0129,0.0272168
0.01305,0.0274957
0.0132,0.0277746
0.01335,0.0280535
0.0135,0.0283323
0.01365,0.0286112
0.0138,0.0288901
0.01395,0.0291689
0.0141,0.0294401
0.01425,0.0296882
0.0144,0.0299364
0.01455,0.0301845
0.0147,0.0304326
0.01485,0.0306807
0.015,0.0309289
0.01515,0.031177
0.0153,0.0314251
0.01545,0.0316732
0.0156,0.0319214
0.01575,0.0321695
0.0159,0.0324176
0.01605,0.0326657
0.0162,0.0329139
0.01635,0.033162
0.0165,0.0334101
0.01665,0.0336582
0.0168,0.0339063
0.01695,0.0341545
0.0171,0.0344026
0.01725,0.0346507
0.0174,0.0348988
0.01755,0.035147
0.0177,0.0353951
0.01785,0.0356432
0.018,0.0358913
0.01815,0.0361395
0.0183,0.0363876
0.01845,0.0366357
0.0186,0.0368838
0.01875,0.037132
0.0189,0.0373576
0.01905,0.0375833
0.0192,0.037809
0.01935,0.0380347
0.0195,0.0382604
0.01965,0.0384861
0.0198,0.0387117
0.01995,0.0389374
0.0201,0.0391631
0.02025,0.0393888
0.0204,0.0396145
0.02055,0.0398402
0.0207,0.0400658
0.02085,0.0402915
0.021,0.0405172
0.02115,0.0407429
0.0213,0.0409686
0.02145,0.0411943
0.0216,0.0414199
0.02175,0.0416456
0.0219,0.0418713
0.02205,0.042097
0.0222,0.0423227
0.02235,0.0425484
0.0225,0.042774
0.02265,0.0429997
0.0228,0.0432254
0.02295,0.0434511
0.0231,0.0436768
0.02325,0.0439024
0.0234,0.0441281
0.02355,0.0443214
0.0237,0.0445039
0.02385,0.0446863
0.024,0.0448688
0.02415,0.0450512
0.0243,0.0452337
0.02445,0.0454161
0.0246,0.0455986
0.02475,0.045781
0.0249,0.0459635
0.02505,0.046146
