x_comp,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev
0,0,0,0,0,0,0
0.00015,3.5229e-06,0.000763684,0.000216682,0.00223713,-0.00212,0.00306228
0.0003,7.0458e-06,0.00152737,0.000433363,0.00447426,-0.00424,0.00612456
0.00045,1.05687e-05,0.00229105,0.000650045,0.00671138,-0.00636,0.00918685
0.0006,1.40916e-05,0.00305474,0.000866727,0.00894851,-0.00848,0.0122491
0.00075,1.76145e-05,0.00381842,0.00108341,0.0111856,-0.0106,0.0153114
0.0009,2.11374e-05,0.0045821,0.00130009,0.0134228,-0.01272,0.0183737
0.00105,2.46603e-05,0.00534579,0.00151677,0.0156599,-0.01484,0.021436
0.0012,2.81832e-05,0.00610947,0.00173345,0.017897,-0.01696,0.0244983
0.00135,3.17061e-05,0.00687315,0.00195014,0.0201342,-0.01908,0.0275605
0.0015,3.5229e-05,0.00763684,0.00216682,0.0223713,-0.0212,0.0306228
0.00165,3.87519e-05,0.00840052,0.0023835,0.0246084,-0.02332,0.0336851
0.0018,4.22748e-05,0.00916421,0.00260018,0.0268455,-0.02544,0.0367474
0.00195,4.57977e-05,0.00992789,0.00281686,0.0290827,-0.02756,0.0398097
0.0021,4.93206e-05,0.0106916,0.00303354,0.0313198,-0.02968,0.0428719
0.00225,5.28435e-05,0.0114553,0.00325023,0.0335569,-0.0318,0.0459342
0.0024,5.63664e-05,0.0122189,0.00346691,0.0357941,-0.03392,0.0489965
0.00255,5.98893e-05,0.0129826,0.00368359,0.0380312,-0.03604,0.0520588
0.0027,6.34122e-05,0.0137463,0.00390027,0.0402683,-0.03816,0.0551211
0.00285,6.69351e-05,0.01451,0.00411695,0.0425054,-0.04028,0.0581834
0.003,7.0458e-05,0.0152737,0.00433363,0.0447426,-0.0424,0.0612456
0.00315,7.39809e-05,0.0160374,0.00455032,0.0469797,-0.04452,0.0643079
0.0033,7.75038e-05,0.016801,0.004767,0.0492168,-0.04664,0.0673702
0.00345,8.10268e-05,0.0175647,0.00498368,0.0514539,-0.04876,0.0704325
0.0036,8.45497e-05,0.0183284,0.00520036,0.0536911,-0.05088,0.0734948
0.00375,8.80726e-05,0.0190921,0.00541704,0.0559282,-0.053,0.0765571
0.0039,9.15955e-05,0.0198558,0.00563372,0.0581653,-0.05512,0.0796193
0.00405,9.51184e-05,0.0206195,0.00585041,0.0604025,-0.05724,0.0826816
0.0042,9.86413e-05,0.0213831,0.00606709,0.0626396,-0.05936,0.0857439
0.00435,0.000102164,0.0221468,0.00628377,0.0648767,-0.06148,0.0888062
0.0045,0.000105687,0.0229105,0.00650045,0.0671138,-0.0636,0.0918685
0.00465,0.00010921,0.0236742,0.00671713,0.069351,-0.06572,0.0949307
0.0048,6.65086e-05,0.0243546,0.00682928,0.070223,-0.0661862,0.0965397
0.00495,8.39945e-06,0.0250073,0.00690658,0.0706399,-0.0661011,0.0976642
0.0051,-4.97099e-05,0.02566,0.00698389,0.0710569,-0.066016,0.0987888
0.00525,-0.000107819,0.0263127,0.00706119,0.0714739,-0.0659309,0.0999133
0.0054,-0.000165928,0.0269654,0.00713849,0.0718908,-0.0658459,0.101038
0.00555,-0.000224038,0.0276181,0.00721579,0.0723078,-0.0657608,0.102162
0.0057,-0.000282147,0.0282708,0.00729309,0.0727247,-0.0656757,0.103287
0.00585,-0.000340256,0.0289235,0.0073704,0.0731417,-0.0655906,0.104411
0.006,-0.000398366,0.0295762,0.0074477,0.0735587,-0.0655055,0.105536
0.00615,-0.000456475,0.0302289,0.007525,0.0739756,-0.0654205,0.10666
0.0063,-0.000514584,0.0308816,0.0076023,0.0743926,-0.0653354,0.107785
0.00645,-0.000572694,0.0315343,0.00767961,0.0748095,-0.0652503,0.108909
0.0066,-0.000630803,0.032187,0.00775691,0.0752265,-0.0651652,0.110034
0.00675,-0.000688912,0.0328397,0.00783421,0.0756435,-0.0650801,0.111158
0.0069,-0.000747021,0.0334924,0.00791151,0.0760604,-0.064995,0.112283
0.00705,-0.000805131,0.0341451,0.00798882,0.0764774,-0.06491,0.113408
0.0072,-0.00086324,0.0347978,0.00806612,0.0768943,-0.0648249,0.114532
0.00735,-0.000921349,0.0354505,0.00814342,0.0773113,-0.0647398,0.115657
0.0075,-0.000979458,0.0361032,0.00822072,0.0777283,-0.0646547,0.116781
0.00765,-0.00103757,0.0367559,0.00829803,0.0781452,-0.0645696,0.117906
0.0078,-0.00109568,0.0374086,0.00837533,0.0785622,-0.0644846,0.11903
0.00795,-0.00115379,0.0380613,0.00845263,0.0789792,-0.0643995,0.120155
0.0081,-0.0012119,0.038714,0.00852993,0.0793961,-0.0643144,0.121279
0.00825,-0.00127,0.0393667,0.00860723,0.0798131,-0.0642293,0.122404
0.0084,-0.00132811,0.0400194,0.00868454,0.08023,-0.0641442,0.123528
0.00855,-0.00138622,0.0406721,0.00876184,0.080647,-0.0640591,0.124653
0.0087,-0.00144433,0.0413248,0.00883914,0.081064,-0.0639741,0.125777
0.00885,-0.00150244,0.0419775,0.00891644,0.0814809,-0.063889,0.126902
0.009,-0.00156055,0.0426301,0.00899375,0.0818979,-0.0638039,0.128026
0.00915,-0.00161866,0.0432828,0.00907105,0.0823148,-0.0637188,0.129151
0.0093,-0.00167677,0.0439355,0.00914835,0.0827318,-0.0636337,0.130275
0.00945,-0.00174942,0.0444716,0.00922122,0.0829996,-0.0632366,0.131123
0.0096,-0.00183662,0.044891,0.00928965,0.0831182,-0.0625274,0.131694
0.00975,-0.00192382,0.0453104,0.00935808,0.0832368,-0.0618181,0.132265
0.0099,-0.00201101,0.0457297,0.00942652,0.0833555,-0.0611089,0.132836
0.01005,-0.00209821,0.0461491,0.00949495,0.0834741,-0.0603997,0.133407
0.0102,-0.00218541,0.0465685,0.00956338,0.0835927,-0.0596904,0.133977
0.01035,-0.0022726,0.0469879,0.00963181,0.0837113,-0.0589812,0.134548
0.0105,-0.0023598,0.0474073,0.00970025,0.08383,-0.058272,0.135119
0.01065,-0.002447,0.0478267,0.00976868,0.0839486,-0.0575628,0.13569
0.0108,-0.00253419,0.048246,0.00983711,0.0840672,-0.0568535,0.136261
0.01095,-0.00262139,0.0486654,0.00990554,0.0841858,-0.0561443,0.136832
0.0111,-0.00270859,0.0490848,0.00997398,0.0843045,-0.0554351,0.137403
0.01125,-0.00279578,0.0495042,0.0100424,0.0844231,-0.0547258,0.137974
0.0114,-0.00288298,0.0499236,0.0101108,0.0845417,-0.0540166,0.138545
0.01155,-0.00297018,0.050343,0.0101793,0.0846603,-0.0533074,0.139115
0.0117,-0.00305737,0.0507624,0.0102477,0.084779,-0.0525982,0.139686
0.01185,-0.00314457,0.0511817,0.0103161,0.0848976,-0.0518889,0.140257
0.012,-0.00323177,0.0516011,0.0103846,0.0850162,-0.0511797,0.140828
0.01215,-0.00331896,0.0520205,0.010453,0.0851348,-0.0504705,0.141399
0.0123,-0.00340616,0.0524399,0.0105214,0.0852535,-0.0497612,0.14197
0.01245,-0.00349336,0.0528593,0.0105899,0.0853721,-0.049052,0.142541
0.0126,-0.00358055,0.0532787,0.0106583,0.0854907,-0.0483428,0.143112
0.01275,-0.00366775,0.053698,0.0107267,0.0856093,-0.0476335,0.143683
0.0129,-0.00375495,0.0541174,0.0107952,0.0857279,-0.0469243,0.144253
0.01305,-0.00384215,0.0545368,0.0108636,0.0858466,-0.0462151,0.144824
0.0132,-0.00392934,0.0549562,0.010932,0.0859652,-0.0455059,0.145395
0.01335,-0.00401654,0.0553756,0.0110005,0.0860838,-0.0447966,0.145966
0.0135,-0.00410374,0.055795,0.0110689,0.0862024,-0.0440874,0.146537
0.01365,-0.00419093,0.0562144,0.0111373,0.0863211,-0.0433782,0.147108
0.0138,-0.00427813,0.0566337,0.0112058,0.0864397,-0.0426689,0.147679
0.01395,-0.00436533,0.0570531,0.0112742,0.0865583,-0.0419597,0.14825
0.0141,-0.00446041,0.0574404,0.0113332,0.0866369,-0.0412206,0.148793
0.01425,-0.00457917,0.0577312,0.0113639,0.0865954,-0.0403918,0.149252
0.0144,-0.00469793,0.058022,0.0113947,0.0865539,-0.0395629,0.149711
0.01455,-0.0048167,0.0583128,0.0114254,0.0865123,-0.0387341,0.150171
0.0147,-0.00493546,0.0586036,0.0114562,0.0864708,-0.0379053,0.15063
0.01485,-0.00505422,0.0588944,0.0114869,0.0864293,-0.0370765,0.151089
0.015,-0.00517298,0.0591851,0.0115177,0.0863878,-0.0362477,0.151549
0.01515,-0.00529174,0.0594759,0.0115484,0.0863462,-0.0354188,0.152008
0.0153,-0.0054105,0.0597667,0.0115791,0.0863047,-0.03459,0.152467
0.01545,-0.00552926,0.0600575,0.0116099,0.0862632,-0.0337612,0.152927
0.0156,-0.00564802,0.0603483,0.0116406,0.0862217,-0.0329324,0.153386
0.01575,-0.00576678,0.0606391,0.0116714,0.0861801,-0.0321035,0.153845
0.0159,-0.00588554,0.0609299,0.0117021,0.0861386,-0.0312747,0.154305
0.01605,-0.0060043,0.0612207,0.0117329,0.0860971,-0.0304459,0.154764
0.0162,-0.00612307,0.0615115,0.0117636,0.0860556,-0.0296171,0.155224
0.01635,-0.00624183,0.0618023,0.0117943,0.086014,-0.0287883,0.155683
0.0165,-0.00636059,0.0620931,0.0118251,0.0859725,-0.0279594,0.156142
0.01665,-0.00647935,0.0623839,0.0118558,0.085931,-0.0271306,0.156602
0.0168,-0.00659811,0.0626747,0.0118866,0.0858895,-0.0263018,0.157061
0.01695,-0.00671687,0.0629655,0.0119173,0.0858479,-0.025473,0.15752
0.0171,-0.00683563,0.0632563,0.0119481,0.0858064,-0.0246441,0.15798
0.01725,-0.00695439,0.0635471,0.0119788,0.0857649,-0.0238153,0.158439
0.0174,-0.00707315,0.0638379,0.0120095,0.0857234,-0.0229865,0.158898
0.01755,-0.00719191,0.0641287,0.0120403,0.0856818,-0.0221577,0.159358
0.0177,-0.00731067,0.0644195,0.012071,0.0856403,-0.0213288,0.159817
0.01785,-0.00742943,0.0647103,0.0121018,0.0855988,-0.0205,0.160276
0.018,-0.00754819,0.0650011,0.0121325,0.0855573,-0.0196712,0.160736
0.01815,-0.00766696,0.0652919,0.0121633,0.0855157,-0.0188424,0.161195
0.0183,-0.00778572,0.0655827,0.012194,0.0854742,-0.0180136,0.161654
0.01845,-0.00790448,0.0658735,0.0122247,0.0854327,-0.0171847,0.162114
0.0186,-0.00802324,0.0661643,0.0122555,0.0853912,-0.0163559,0.162573
0.01875,-0.008142,0.0664551,0.0122862,0.0853496,-0.0155271,0.163032
0.0189,-0.00827285,0.0667099,0.0122011,0.085304,-0.0146538,0.163351
0.01905,-0.00840369,0.0669647,0.0121159,0.0852583,-0.0137806,0.163669
0.0192,-0.00853454,0.0672196,0.0120308,0.0852126,-0.0129073,0.163987
0.01935,-0.00866539,0.0674744,0.0119456,0.0851669,-0.0120341,0.164306
0.0195,-0.00879623,0.0677293,0.0118605,0.0851212,-0.0111609,0.164624
0.01965,-0.00892708,0.0679841,0.0117753,0.0850756,-0.0102876,0.164942
0.0198,-0.00905793,0.068239,0.0116902,0.0850299,-0.00941437,0.16526
0.01995,-0.00918877,0.0684938,0.011605,0.0849842,-0.00854112,0.165579
0.0201,-0.00931962,0.0687486,0.0115199,0.0849385,-0.00766788,0.165897
0.02025,-0.00945047,0.0690035,0.0114347,0.0848928,-0.00679463,0.166215
0.0204,-0.00958131,0.0692583,0.0113496,0.0848471,-0.00592138,0.166534
0.02055,-0.00971216,0.0695132,0.0112644,0.0848015,-0.00504814,0.166852
0.0207,-0.00984301,0.069768,0.0111793,0.0847558,-0.00417489,0.16717
0.02085,-0.00997386,0.0700228,0.0110941,0.0847101,-0.00330164,0.167488
0.021,-0.0101047,0.0702777,0.011009,0.0846644,-0.0024284,0.167807
