ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.00521041,-0.00158074,0.0219481,-0.00255491,0.0620582,-0.0592264,0.0776865,0.00535714
0.0071002,-0.00360985,0.0373706,-0.00271437,0.0648874,-0.0327648,0.0924922,0.0107143
0.00841237,-0.00594886,0.0486833,-0.00235625,0.0659641,-0.00424924,0.100398,0.0160714
0.0092348,-0.00828364,0.0567499,-0.00343375,0.0662446,0.0219726,0.104164,0.0214286
0.0096088,-0.00981353,0.0625207,-0.00483682,0.0665975,0.0440541,0.10425,0.0267857
0.00982164,-0.0103848,0.0665492,-0.00383736,0.066679,0.0633186,0.103757,0.0321429
0.0098614,-0.0107781,0.0692924,-0.00148874,0.0668438,0.0798385,0.102235,0.0375
0.0093154,-0.0108298,0.0698611,-0.000631913,0.0652985,0.0931807,0.0973761,0.0428571
0.00861822,-0.0104983,0.0682266,-0.000939579,0.0632028,0.106467,0.0926514,0.0482143
0.00820188,-0.00954583,0.0656599,-0.00104032,0.0633423,0.119418,0.0898753,0.0535714
0.00790196,-0.00815297,0.0633846,-0.00100472,0.0637887,0.130268,0.0878403,0.0589286
0.00778294,-0.00595631,0.0619094,-0.00152801,0.0635808,0.138901,0.0876933,0.0642857
0.0078975,-0.0030689,0.0607603,-0.00215709,0.0642537,0.145087,0.0892969,0.0696429
0.00791693,-0.000451105,0.0597336,-0.00118694,0.0656825,0.147723,0.0891707,0.075
0.00789826,0.00171461,0.059175,0.000873663,0.0658386,0.147971,0.089218,0.0803571
0.00792262,0.00370259,0.0595442,0.000623688,0.0650184,0.146173,0.089844,0.0857143
0.00797765,0.00506374,0.0607856,-0.00197775,0.0645488,0.141051,0.0899606,0.0910714
0.00819785,0.0068509,0.0623871,-0.00499414,0.0651303,0.132822,0.0908825,0.0964286
0.00849353,0.00837692,0.0631087,-0.00750887,0.0661582,0.121997,0.092874,0.101786
0.00874276,0.00864557,0.0625462,-0.009077,0.0665773,0.108512,0.095598,0.107143
0.00897277,0.00919865,0.061867,-0.00898466,0.0666576,0.0919302,0.0983508,0.1125
0.00925835,0.0102944,0.0613919,-0.00837415,0.0665303,0.0736481,0.101581,0.117857
0.00927845,0.0105712,0.0592937,-0.00791658,0.0648573,0.0535566,0.104069,0.123214
0.00887399,0.00941811,0.0545514,-0.00668908,0.0631026,0.0310732,0.103836,0.128571
0.00825972,0.00778846,0.0481874,-0.00464556,0.063571,0.00753638,0.100709,0.133929
0.00752061,0.00554685,0.0388827,-0.00177966,0.0653369,-0.0171204,0.0961118,0.139286
0.00615067,0.00263156,0.0233112,0.000453882,0.0646314,-0.0424814,0.0868438,0.144643
0,0,0,0,0,0,0,0.15
