ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.00741471,0.00166125,0.0234036,0.00210729,0.0745556,-0.0483761,0.09323,0.00535714
0.00859805,0.0022896,0.0384722,0.00266391,0.0756466,-0.0219956,0.0998565,0.0107143
0.00943928,0.00148587,0.0471841,0.00202072,0.0755038,0.00116752,0.104599,0.0160714
0.00978149,0.000119895,0.0529172,9.89077e-05,0.0748815,0.0212894,0.105595,0.0214286
0.00977155,-0.00157828,0.0576855,-0.00234457,0.073408,0.0396864,0.104028,0.0267857
0.0097093,-0.00268599,0.0623632,-0.00465697,0.0703948,0.0590913,0.102808,0.0321429
0.00968789,-0.00309335,0.0653417,-0.00460258,0.0669305,0.0784335,0.10308,0.0375
0.00945808,-0.00419808,0.0666086,-0.00138104,0.066642,0.0930829,0.100163,0.0428571
0.00903097,-0.00555789,0.0676886,0.000671834,0.0678769,0.103094,0.094164,0.0482143
0.0087136,-0.00575518,0.0679777,0.000656069,0.0679129,0.109002,0.090509,0.0535714
0.00844871,-0.0044996,0.0676033,0.000513456,0.0671137,0.111952,0.0884374,0.0589286
0.00822259,-0.00320383,0.0667547,-4.17753e-05,0.0666593,0.113585,0.0868583,0.0642857
0.00813005,-0.00223357,0.0654014,-0.00249399,0.0667792,0.115073,0.0867331,0.0696429
0.00798508,-0.00184381,0.0644128,-0.00573007,0.0666377,0.116546,0.0859081,0.075
0.00781185,-0.00154079,0.0647494,-0.00783492,0.0664995,0.117309,0.0837164,0.0803571
0.00792955,-8.45137e-05,0.0660488,-0.00833903,0.0675416,0.115646,0.0832691,0.0857143
0.00818868,0.00195865,0.0674265,-0.00789507,0.0688106,0.111143,0.0842314,0.0910714
0.00850502,0.00372614,0.0678849,-0.00745361,0.0703573,0.104117,0.0863063,0.0964286
0.00868589,0.00351459,0.0673092,-0.00657398,0.0701238,0.0933505,0.0889999,0.101786
0.0087293,0.00225426,0.0663462,-0.00504539,0.0668008,0.078842,0.092686,0.107143
0.00911121,0.00142752,0.0647942,-0.00256653,0.0654795,0.0625734,0.0986728,0.1125
0.00954013,0.00109736,0.0624568,0.000861528,0.0664822,0.0466062,0.10372,0.117857
0.00945736,0.00018487,0.0588402,0.00247538,0.0672487,0.0292717,0.104525,0.123214
0.00898992,-0.00130364,0.0534531,0.00232701,0.066539,0.00999741,0.103372,0.128571
0.00859166,-0.00282199,0.0465294,0.00131667,0.0683837,-0.0104499,0.101618,0.133929
0.00830895,-0.00342247,0.037286,-0.00067236,0.0737755,-0.0323155,0.0987947,0.139286
0.0076385,-0.00226926,0.0226387,-0.00305608,0.077551,-0.0566029,0.0933879,0.144643
0,0,0,0,0,0,0,0.15
