ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.00399062,-0.00284069,0.0189929,-0.00107993,0.0588187,-0.0441404,0.0639018,0.00535714
0.00610179,-0.00712828,0.0347214,-0.00339526,0.0639326,-0.02057,0.0828947,0.0107143
0.00713065,-0.0117155,0.0458505,-0.00368708,0.0622919,0.00719056,0.0908718,0.0160714
0.00780459,-0.014566,0.0540751,-0.00305698,0.0605093,0.0359242,0.0949253,0.0214286
0.00825553,-0.0167048,0.0599882,-0.0028241,0.059301,0.0643353,0.096908,0.0267857
0.00838487,-0.0186309,0.0622343,-0.00368041,0.058833,0.0909041,0.0971324,0.0321429
0.00827929,-0.0196316,0.061199,-0.00514852,0.0580869,0.11527,0.0971518,0.0375
0.00802984,-0.0198986,0.0589841,-0.00587534,0.0577181,0.136154,0.0961652,0.0428571
0.00772853,-0.0191557,0.057168,-0.00590015,0.0567852,0.153784,0.0946685,0.0482143
0.00736793,-0.0169113,0.055513,-0.0061165,0.0550138,0.168766,0.0928736,0.0535714
0.00700167,-0.0129544,0.0539695,-0.00658618,0.0530858,0.182153,0.0909418,0.0589286
0.006688,-0.00826386,0.0524358,-0.00658326,0.0509971,0.192489,0.089578,0.0642857
0.00661292,-0.00361121,0.0512076,-0.00563139,0.0505119,0.198085,0.0897311,0.0696429
0.00667057,0.00130041,0.0499347,-0.00316158,0.0522271,0.196869,0.0901096,0.075
0.00694746,0.00672476,0.0494545,0.000234946,0.0547554,0.188316,0.0919134,0.0803571
0.00756189,0.0116002,0.0499154,0.00211614,0.0569741,0.176306,0.0968415,0.0857143
0.00828798,0.0159648,0.0516364,0.00175687,0.0594151,0.161382,0.101849,0.0910714
0.00877339,0.0193344,0.0537973,0.000343766,0.061181,0.143633,0.104432,0.0964286
0.00899505,0.0208263,0.056313,-0.00055876,0.061889,0.122891,0.104818,0.101786
0.00917466,0.0205723,0.0597333,-0.000298851,0.0624141,0.0992557,0.104325,0.107143
0.00928758,0.0192853,0.0618149,0.00100141,0.0633713,0.0743447,0.103617,0.1125
0.00883894,0.0168627,0.0605896,0.00241694,0.0632052,0.0499567,0.100027,0.117857
0.00793713,0.0147105,0.0572246,0.00295789,0.0620559,0.0248622,0.0934671,0.123214
0.00698618,0.0126631,0.0528304,0.00315905,0.0606102,-0.000494638,0.086572,0.128571
0.00625339,0.00972225,0.0466839,0.00328668,0.0608423,-0.0246101,0.0813119,0.133929
0.00543019,0.00622791,0.0364754,0.00370604,0.061742,-0.047743,0.075419,0.139286
0.00355874,0.00267493,0.0208349,0.00398594,0.0555936,-0.0623337,0.0593731,0.144643
0,0,0,0,0,0,0,0.15
