ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
5.46102e-40,0,0,4.62507e-21,3.27763e-20,0,0,-57.7359,55.9083,21.4942,7.9449,1928.75,6.28736,0.0213509,0.00668218,995.774,8.68274,1,0,1.71495e-05,0.000452629,-2.73842e-05,0.00214338,0.00392923,0.0229072,0,0,1,0,0,0.075,0.25,0,0
0.000130258,1.94576e-05,0.000500319,3.21729e-05,0.0017287,-0.00198145,0.0022576,-57.6919,55.842,21.2962,7.8382,1928.74,6.28777,0.0211867,0.00660371,995.758,8.71222,1,0,5.03323e-06,0.000568586,-1.74199e-05,0.00215977,0.00397041,0.0228439,0,0,1,0.00015,0.00015,0.075,0.25,1,0
0.000260515,3.89152e-05,0.00100064,6.43457e-05,0.0034574,-0.0039629,0.0045152,-57.6479,55.7757,21.0981,7.73151,1928.73,6.28819,0.0210226,0.00652525,995.742,8.7417,1,0,-7.0831e-06,0.000684544,-7.45569e-06,0.00217616,0.00401158,0.0227807,0,0,1,0.0003,0.0003,0.075,0.25,2,0
0.000390773,5.83727e-05,0.00150096,9.65186e-05,0.0051861,-0.00594436,0.00677281,-57.6039,55.7094,20.9001,7.62482,1928.72,6.28861,0.0208584,0.00644679,995.726,8.77118,1,0,-1.91994e-05,0.000800502,2.50854e-06,0.00219254,0.00405276,0.0227174,0,0,1,0.00045,0.00045,0.075,0.25,3,0
0.000521031,7.78303e-05,0.00200127,0.000128691,0.0069148,-0.00792581,0.00903041,-57.5599,55.6431,20.702,7.51813,1928.72,6.28903,0.0206942,0.00636832,995.71,8.80065,1,0,-3.13157e-05,0.00091646,1.24728e-05,0.00220893,0.00409394,0.0226542,0,0,1,0.0006,0.0006,0.075,0.25,4,0
0.000651288,9.72879e-05,0.00250159,0.000160864,0.0086435,-0.00990726,0.011288,-57.5159,55.5768,20.504,7.41143,1928.71,6.28944,0.02053,0.00628986,995.693,8.83013,1,0,-4.34321e-05,0.00103242,2.2437e-05,0.00222532,0.00413511,0.0225909,0,0,1,0.00075,0.00075,0.075,0.25,5,0
0.000781546,0.000116745,0.00300191,0.000193037,0.0103722,-0.0118887,0.0135456,-57.4719,55.5104,20.306,7.30474,1928.7,6.28986,0.0203659,0.0062114,995.677,8.85961,1,0,-5.55484e-05,0.00114838,3.24012e-05,0.0022417,0.00417629,0.0225277,0,0,1,0.0009,0.0009,0.075,0.25,6,0
0.000911804,0.000136203,0.00350223,0.00022521,0.0121009,-0.0138702,0.0158032,-57.4279,55.4441,20.1079,7.19805,1928.69,6.29028,0.0202017,0.00613293,995.661,8.88908,1,0,-6.76647e-05,0.00126433,4.23655e-05,0.00225809,0.00421747,0.0224644,0,0,1,0.00105,0.00105,0.075,0.25,7,0
0.00104206,0.000155661,0.00400255,0.000257383,0.0138296,-0.0158516,0.0180608,-57.384,55.3778,19.9099,7.09135,1928.68,6.29069,0.0200375,0.00605447,995.645,8.91856,1,0,-7.9781e-05,0.00138029,5.23297e-05,0.00227448,0.00425864,0.0224011,0,0,1,0.0012,0.0012,0.075,0.25,8,0
0.00117232,0.000175118,0.00450287,0.000289556,0.0155583,-0.0178331,0.0203184,-57.34,55.3115,19.7119,6.98466,1928.67,6.29111,0.0198734,0.00597601,995.629,8.94804,1,0,-9.18973e-05,0.00149625,6.22939e-05,0.00229086,0.00429982,0.0223379,0,0,1,0.00135,0.00135,0.075,0.25,9,0
