ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.0141963,0.00158106,0.0290199,0.00778917,0.0904972,-0.0553754,0.138996,0.00535714
0.014834,0.00218186,0.0457622,0.00736728,0.0829586,-0.0323907,0.143715,0.0107143
0.0149673,0.00238434,0.0580407,0.00734366,0.0762436,-0.0140252,0.143959,0.0160714
0.0154208,0.00314931,0.0686057,0.00673544,0.0740109,0.00499763,0.143664,0.0214286
0.0165359,0.00489774,0.0765924,0.00438795,0.0770344,0.027849,0.145802,0.0267857
0.0177829,0.00541819,0.08206,0.00282357,0.0825924,0.0529995,0.148335,0.0321429
0.018717,0.00424852,0.0859332,0.00408331,0.086529,0.0757494,0.1502,0.0375
0.0198231,0.000155957,0.0883035,0.00709377,0.0902004,0.0944828,0.153976,0.0428571
0.0203686,-0.00513634,0.0895723,0.00961451,0.092562,0.110999,0.155381,0.0482143
0.0195415,-0.00988233,0.0897244,0.00883035,0.0905009,0.124377,0.151095,0.0535714
0.0180004,-0.0128954,0.0886374,0.00555541,0.0870678,0.133241,0.143341,0.0589286
0.0167459,-0.0135416,0.0864401,0.00181129,0.0849153,0.138348,0.137128,0.0642857
0.0166923,-0.0128917,0.0855274,-0.000399317,0.0840782,0.141328,0.137835,0.0696429
0.0174663,-0.0114099,0.0866682,-0.00075581,0.0865168,0.142071,0.141193,0.075
0.0178253,-0.00846379,0.0885192,-0.000756334,0.0874679,0.142248,0.141989,0.0803571
0.0182051,-0.00484951,0.0891404,0.00132168,0.0834906,0.142843,0.146562,0.0857143
0.0188236,-0.00169261,0.0891765,0.00386576,0.0799596,0.140389,0.152622,0.0910714
0.0190211,0.000191572,0.0894811,0.00365321,0.0783816,0.130243,0.154554,0.0964286
0.0191495,0.000618747,0.0898387,0.00161043,0.0791215,0.113567,0.154801,0.101786
0.0197682,-1.42428e-05,0.0893052,-5.04269e-05,0.0815065,0.0958303,0.15784,0.107143
0.0203454,-0.00160423,0.0872611,-0.00103034,0.0839125,0.0790917,0.161351,0.1125
0.0202611,-0.00234706,0.0840114,-0.00183347,0.0856953,0.0633107,0.161608,0.117857
0.0192736,-0.00147831,0.0795458,-0.00199946,0.0872326,0.0469584,0.15683,0.123214
0.0176952,0.000327731,0.072932,-0.00162579,0.0878555,0.0282025,0.14943,0.128571
0.0163189,0.00227274,0.063341,-0.00205422,0.0885963,0.00736124,0.144042,0.133929
0.0155324,0.00225827,0.0502421,-0.00355963,0.0926747,-0.0150892,0.141107,0.139286
0.0143739,0.00118341,0.0308696,-0.00412571,0.0985346,-0.0441687,0.134289,0.144643
0,0,0,0,0,0,0,0.15
