ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,x_comp
0,0,0,0,0,0,0,0
0.00959924,0.000943181,0.0269363,0.00128586,0.0769363,-0.0497668,0.111386,0.00535714
0.0142268,-0.000838466,0.0474159,0.00158737,0.0837175,-0.0373792,0.138278,0.0107143
0.0164105,-0.00262378,0.0640593,-0.00306689,0.0812582,-0.0148322,0.148535,0.0160714
0.0181503,-0.00271326,0.0768294,-0.00835955,0.0799884,0.0113694,0.154824,0.0214286
0.0195063,-0.0034598,0.0855199,-0.00898749,0.0802884,0.0411006,0.158878,0.0267857
0.0208167,-0.0071036,0.0903503,-0.00525594,0.0822955,0.0751169,0.163374,0.0321429
0.0227827,-0.0130966,0.0935486,-0.00132199,0.0879643,0.108606,0.170511,0.0375
0.0245702,-0.0186271,0.0961429,0.00261687,0.0936673,0.137662,0.176397,0.0428571
0.0255747,-0.0218466,0.0979214,0.00375811,0.0976347,0.161107,0.178951,0.0482143
0.0254366,-0.0213729,0.0979395,-0.000816796,0.0998598,0.179958,0.176936,0.0535714
0.0249111,-0.0180492,0.0980088,-0.00633478,0.098523,0.194761,0.174655,0.0589286
0.0240272,-0.0135045,0.0981417,-0.0102262,0.0942529,0.205081,0.171844,0.0642857
0.0232835,-0.00875842,0.0975382,-0.0116372,0.0918154,0.210563,0.169169,0.0696429
0.0231895,-0.00549334,0.0958282,-0.0099548,0.0904393,0.21064,0.17033,0.075
0.0235159,-0.00342728,0.0938361,-0.00895927,0.0895173,0.203541,0.173803,0.0803571
0.0238725,-0.00335076,0.0919171,-0.0104774,0.0913347,0.190569,0.175919,0.0857143
0.0242573,-0.0029337,0.0926299,-0.0129582,0.0934348,0.177329,0.176627,0.0910714
0.0248611,-0.00202319,0.0957218,-0.0152107,0.0930195,0.166586,0.178606,0.0964286
0.0252993,-0.000595645,0.0986764,-0.0178726,0.0920311,0.151447,0.179968,0.101786
0.0255804,0.00249022,0.0996932,-0.019158,0.0929039,0.130142,0.180525,0.107143
0.024627,0.00589615,0.0963027,-0.0181699,0.0931806,0.104772,0.176908,0.1125
0.0222382,0.00785548,0.088902,-0.0148837,0.0907413,0.0764938,0.1683,0.117857
0.0200103,0.00739881,0.0812471,-0.00928404,0.0879156,0.0479815,0.160227,0.123214
0.0180786,0.00590634,0.074672,-0.00336553,0.0850976,0.0204758,0.152694,0.128571
0.0162364,0.00412753,0.0651754,0.00268893,0.0839751,-0.00753235,0.14538,0.133929
0.0141414,0.00162087,0.0495601,0.00745393,0.0852301,-0.0366827,0.135988,0.139286
0.00940722,-0.00031455,0.0278889,0.00703029,0.080637,-0.0592965,0.106588,0.144643
0,0,0,0,0,0,0,0.15
