N,min(u),q1(u),med(u),q3(u),max(u),avg(u),std(u),min(v),q1(v),med(v),q3(v),max(v),avg(v),std(v),min(w),q1(w),med(w),q3(w),max(w),avg(w),std(w),min(isoQ),q1(isoQ),med(isoQ),q3(isoQ),max(isoQ),avg(isoQ),std(isoQ),min(vortmag),q1(vortmag),med(vortmag),q3(vortmag),max(vortmag),avg(vortmag),std(vortmag),min(pressure),q1(pressure),med(pressure),q3(pressure),max(pressure),avg(pressure),std(pressure),min(viscosity),q1(viscosity),med(viscosity),q3(viscosity),max(viscosity),avg(viscosity),std(viscosity),min(density),q1(density),med(density),q3(density),max(density),avg(density),std(density),min(volfrac),q1(volfrac),med(volfrac),q3(volfrac),max(volfrac),avg(volfrac),std(volfrac),min(dpm_u),q1(dpm_u),med(dpm_u),q3(dpm_u),max(dpm_u),avg(dpm_u),std(dpm_u),min(dpm_v),q1(dpm_v),med(dpm_v),q3(dpm_v),max(dpm_v),avg(dpm_v),std(dpm_v),min(dpm_w),q1(dpm_w),med(dpm_w),q3(dpm_w),max(dpm_w),avg(dpm_w),std(dpm_w),min(vtkGhostType),q1(vtkGhostType),med(vtkGhostType),q3(vtkGhostType),max(vtkGhostType),avg(vtkGhostType),std(vtkGhostType),min(vtkValidPointMask),q1(vtkValidPointMask),med(vtkValidPointMask),q3(vtkValidPointMask),max(vtkValidPointMask),avg(vtkValidPointMask),std(vtkValidPointMask),min(vtkOriginalPointIds),q1(vtkOriginalPointIds),med(vtkOriginalPointIds),q3(vtkOriginalPointIds),max(vtkOriginalPointIds),avg(vtkOriginalPointIds),std(vtkOriginalPointIds),min(X),q1(X),med(X),q3(X),max(X),avg(X),std(X),min(Y),q1(Y),med(Y),q3(Y),max(Y),avg(Y),std(Y),min(Z),q1(Z),med(Z),q3(Z),max(Z),avg(Z),std(Z),vtkValidPointMask,Time,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001002,0.001002,0.001002,0.001002,0.001002,0.001002,0,998.23,998.23,998.23,998.23,998.23,998.23,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,10,0,0,1
1,0.256998,0.256998,0.256998,0.256998,0.256998,0.256998,0,-0.0326832,-0.0326832,-0.0326832,-0.0326832,-0.0326832,-0.0326832,0,0.0343196,0.0343196,0.0343196,0.0343196,0.0343196,0.0343196,0,30.0176,30.0176,30.0176,30.0176,30.0176,30.0176,0,16.5979,16.5979,16.5979,16.5979,16.5979,16.5979,0,1901.5,1901.5,1901.5,1901.5,1901.5,1901.5,0,0.0075258,0.0075258,0.0075258,0.0075258,0.0075258,0.0075258,0,995.666,995.666,995.666,995.666,995.666,995.666,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,11,1,0,1
1,0.0445928,0.0445928,0.0445928,0.0445928,0.0445928,0.0445928,0,-0.15576,-0.15576,-0.15576,-0.15576,-0.15576,-0.15576,0,0.225366,0.225366,0.225366,0.225366,0.225366,0.225366,0,294.417,294.417,294.417,294.417,294.417,294.417,0,32.6237,32.6237,32.6237,32.6237,32.6237,32.6237,0,1878.77,1878.77,1878.77,1878.77,1878.77,1878.77,0,0.0110577,0.0110577,0.0110577,0.0110577,0.0110577,0.0110577,0,985.607,985.607,985.607,985.607,985.607,985.607,0,1,1,1,1,1,1,0,3.29856e-09,3.29856e-09,3.29856e-09,3.29856e-09,3.29856e-09,3.29856e-09,0,-1.26828e-08,-1.26828e-08,-1.26828e-08,-1.26828e-08,-1.26828e-08,-1.26828e-08,0,6.55833e-08,6.55833e-08,6.55833e-08,6.55833e-08,6.55833e-08,6.55833e-08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,12,2,0,1
1,-0.0696479,-0.0696479,-0.0696479,-0.0696479,-0.0696479,-0.0696479,0,-0.0440494,-0.0440494,-0.0440494,-0.0440494,-0.0440494,-0.0440494,0,0.157786,0.157786,0.157786,0.157786,0.157786,0.157786,0,-17.6048,-17.6048,-17.6048,-17.6048,-17.6048,-17.6048,0,12.8362,12.8362,12.8362,12.8362,12.8362,12.8362,0,1910.63,1910.63,1910.63,1910.63,1910.63,1910.63,0,0.0068497,0.0068497,0.0068497,0.0068497,0.0068497,0.0068497,0,980.436,980.436,980.436,980.436,980.436,980.436,0,1,1,1,1,1,1,0,-0.009984,-0.009984,-0.009984,-0.009984,-0.009984,-0.009984,0,0.00141719,0.00141719,0.00141719,0.00141719,0.00141719,0.00141719,0,0.0401561,0.0401561,0.0401561,0.0401561,0.0401561,0.0401561,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,13,3,0,1
1,0.00779881,0.00779881,0.00779881,0.00779881,0.00779881,0.00779881,0,-0.0751513,-0.0751513,-0.0751513,-0.0751513,-0.0751513,-0.0751513,0,0.441812,0.441812,0.441812,0.441812,0.441812,0.441812,0,-53.8094,-53.8094,-53.8094,-53.8094,-53.8094,-53.8094,0,18.9049,18.9049,18.9049,18.9049,18.9049,18.9049,0,1903.78,1903.78,1903.78,1903.78,1903.78,1903.78,0,0.0103963,0.0103963,0.0103963,0.0103963,0.0103963,0.0103963,0,995.444,995.444,995.444,995.444,995.444,995.444,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,14,4,0,1
1,0.0289403,0.0289403,0.0289403,0.0289403,0.0289403,0.0289403,0,-0.0728538,-0.0728538,-0.0728538,-0.0728538,-0.0728538,-0.0728538,0,0.237022,0.237022,0.237022,0.237022,0.237022,0.237022,0,-274.071,-274.071,-274.071,-274.071,-274.071,-274.071,0,9.44549,9.44549,9.44549,9.44549,9.44549,9.44549,0,1908.98,1908.98,1908.98,1908.98,1908.98,1908.98,0,0.0101088,0.0101088,0.0101088,0.0101088,0.0101088,0.0101088,0,919.861,919.861,919.861,919.861,919.861,919.861,0,1,1,1,1,1,1,0,-0.00200354,-0.00200354,-0.00200354,-0.00200354,-0.00200354,-0.00200354,0,-0.0276589,-0.0276589,-0.0276589,-0.0276589,-0.0276589,-0.0276589,0,0.217603,0.217603,0.217603,0.217603,0.217603,0.217603,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,15,5,0,1
1,-0.0550701,-0.0550701,-0.0550701,-0.0550701,-0.0550701,-0.0550701,0,-0.00708321,-0.00708321,-0.00708321,-0.00708321,-0.00708321,-0.00708321,0,0.308806,0.308806,0.308806,0.308806,0.308806,0.308806,0,-5.87067,-5.87067,-5.87067,-5.87067,-5.87067,-5.87067,0,14.7431,14.7431,14.7431,14.7431,14.7431,14.7431,0,1909.19,1909.19,1909.19,1909.19,1909.19,1909.19,0,0.00791253,0.00791253,0.00791253,0.00791253,0.00791253,0.00791253,0,998.098,998.098,998.098,998.098,998.098,998.098,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,16,6,0,1
1,0.00445913,0.00445913,0.00445913,0.00445913,0.00445913,0.00445913,0,0.149621,0.149621,0.149621,0.149621,0.149621,0.149621,0,-0.0315505,-0.0315505,-0.0315505,-0.0315505,-0.0315505,-0.0315505,0,-15.1358,-15.1358,-15.1358,-15.1358,-15.1358,-15.1358,0,11.3572,11.3572,11.3572,11.3572,11.3572,11.3572,0,1901.37,1901.37,1901.37,1901.37,1901.37,1901.37,0,0.00607252,0.00607252,0.00607252,0.00607252,0.00607252,0.00607252,0,948.419,948.419,948.419,948.419,948.419,948.419,0,1,1,1,1,1,1,0,-0.00222232,-0.00222232,-0.00222232,-0.00222232,-0.00222232,-0.00222232,0,0.0193318,0.0193318,0.0193318,0.0193318,0.0193318,0.0193318,0,0.0310377,0.0310377,0.0310377,0.0310377,0.0310377,0.0310377,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,17,7,0,1
1,-0.11526,-0.11526,-0.11526,-0.11526,-0.11526,-0.11526,0,-0.0955313,-0.0955313,-0.0955313,-0.0955313,-0.0955313,-0.0955313,0,0.366895,0.366895,0.366895,0.366895,0.366895,0.366895,0,-842.474,-842.474,-842.474,-842.474,-842.474,-842.474,0,32.4955,32.4955,32.4955,32.4955,32.4955,32.4955,0,1902.29,1902.29,1902.29,1902.29,1902.29,1902.29,0,0.0229883,0.0229883,0.0229883,0.0229883,0.0229883,0.0229883,0,954.744,954.744,954.744,954.744,954.744,954.744,0,1,1,1,1,1,1,0,-3.45608e-09,-3.45608e-09,-3.45608e-09,-3.45608e-09,-3.45608e-09,-3.45608e-09,0,-3.23589e-09,-3.23589e-09,-3.23589e-09,-3.23589e-09,-3.23589e-09,-3.23589e-09,0,4.03856e-08,4.03856e-08,4.03856e-08,4.03856e-08,4.03856e-08,4.03856e-08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,18,8,0,1
1,0.0753855,0.0753855,0.0753855,0.0753855,0.0753855,0.0753855,0,-0.117362,-0.117362,-0.117362,-0.117362,-0.117362,-0.117362,0,0.0233139,0.0233139,0.0233139,0.0233139,0.0233139,0.0233139,0,66.1961,66.1961,66.1961,66.1961,66.1961,66.1961,0,18.9066,18.9066,18.9066,18.9066,18.9066,18.9066,0,1891.86,1891.86,1891.86,1891.86,1891.86,1891.86,0,0.00783373,0.00783373,0.00783373,0.00783373,0.00783373,0.00783373,0,960.466,960.466,960.466,960.466,960.466,960.466,0,1,1,1,1,1,1,0,0.00307203,0.00307203,0.00307203,0.00307203,0.00307203,0.00307203,0,-0.00265207,-0.00265207,-0.00265207,-0.00265207,-0.00265207,-0.00265207,0,0.057548,0.057548,0.057548,0.057548,0.057548,0.057548,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.075,0.075,0.075,0.075,0.075,0.075,0,0.25,0.25,0.25,0.25,0.25,0.25,0,1,19,9,0,1
